"LFO","Frequencies","08/27/1991","441, 6768050030b2d1f4, 2000033, 506","cd","full-length","IDM;Techno","8","12"
"Karlheinz Stockhausen","Kontakte","NO DATE","483, 6768050030b2d1f4, 2000033, 512","cd","full-length","Electro-Accoustic","13","0"
